Release Year,Title,Plot,PlotSummary,final_genre,final_director,final_cast
1970,Adam at Six A.M.,"The film revolves around Adam Gaines, a semantics professor at a California college. He becomes complacent in his life and hears about the death of a relative in Missouri. He drives cross country to attend the funeral and pay his respects, and decides to spend the summer there working as a laborer. He meets Jerri Jo Hopper, and falls in love, along the way developing new friendships with the town locals. He then must decide what direction he wants his life to go, whether to stay in Missouri or return to California.","The film revolves around Adam Gaines, a semantics professor at a California college. He becomes complacent in his life and hears about the death of a relative in Missouri. He drives cross country to attend the funeral and pay his respects, and decides to spend the summer there. He meets Jerri Jo Hopper, and falls in love, along the way developing new friendships with the town locals.",Drama,Robert Scheerer,"Michael Douglas,Joe Don Baker,Charles Aidman,Dana Elcar,Ed Call"
1970,The Adventurers,"Set in the fictional Latin American country of Cortoguay, it tells the tale of a rich playboy, Dax Xenos, who uses and destroys everyone who crosses his path. His vileness results from having seen his mother and sister raped and murdered by Government troops, but his primary obsession is to avenge his father's murder. Dax's father had been a true patriot unlike any of the other self-seeking Presidents in an otherwise poor country always belonging to ""the revolution."" Dax finds, however, that vengeance and revolution lead to nothing but more of the same.","Set in the fictional Latin American country of Cortoguay, it tells the tale of a rich playboy, Dax Xenos, who uses and destroys everyone who crosses his path. His vileness results from having seen his mother and sister raped and murdered by Government troops, but his primary obsession is to avenge his father's murder.","Action,Adventure,Drama",Lewis Gilbert,"Charles Aznavour,Alan Badel,Thommy Berggren,Ernest Borgnine,Rossano Brazzi,Bekim Fehmiu"
1970,Airport,"Chicago is paralyzed by a snowstorm affecting Lincoln International Airport. A Trans Global Airlines (TGA) Boeing 707 flight crew misjudge their turn from Runway 29 onto the taxiway, becoming stuck in the snow and closing that runway. Airport manager Mel Bakersfeld is forced to work overtime, causing tension with his wife, Cindy. A divorce seems imminent as he nurtures a closer relationship with a co-worker, TGA customer relations agent Tanya Livingston.
Vernon Demerest is a TGA captain scheduled to be the checkride captain for the airline to evaluate Captain Anson Harris during its Flight 2 to Rome. TGA's flagship international service, named The Golden Argosy, is being operated with a Boeing 707. Although Demerest is married to Bakersfeld's sister, Sarah, he is secretly having an affair with Gwen Meighen, chief stewardess on the flight, who informs him before takeoff that she is pregnant with his child.
Bakersfeld borrows TWA mechanic Joe Patroni to assist with moving TGA's disabled plane blocking Runway 29. Mel and Tanya also deal with Mrs. Ada Quonsett, an elderly lady from San Diego who is a habitual stowaway on various airlines.
Demolition expert D.O. Guerrero, down on his luck and with a history of mental illness, buys both a one-way TGA ticket aboard The Golden Argosy and a large life insurance policy with the intent of committing suicide by blowing up the plane. He plans to set off a bomb in an attaché case while over the Atlantic Ocean so that his wife, Inez, will collect the insurance money of $225,000. His erratic behavior at the airport, including using his last cash to buy the insurance policy and mistaking a U.S. Customs officer for an airline gate agent, attracts airport officials' attention. Inez finds a Special Delivery envelope from a travel agency and, realizing D.O. might be doing something desperate, goes to the airport to try to dissuade him. She informs airport officials that he had been fired from a construction job for ""misplacing"" explosives and that the family's financial situation was desperate.
Ada manages to evade the TGA employee assigned the task of putting her on a flight back to San Diego, talks her way past the gate agent, boards Flight 2, and happens to sit next to D.O. When the Golden Argosy crew is made aware of D.O.'s presence and possible intentions, they turn the plane back toward Chicago without informing the passengers. Once Ada is discovered, her help is enlisted by the crew to get to D.O.'s briefcase, but the ploy fails when a would-be helpful male passenger unwittingly returns the case to D.O.
Captain Demerest goes back into the passenger cabin and tries to persuade D.O. not to trigger the bomb, informing him that his insurance policy will be useless. D.O. briefly considers giving Vernon the bomb, but just then another passenger exits the lavatory at the rear of the aircraft, and the same would-be helpful passenger yells out that D.O. has a bomb. D.O. runs into the lavatory, locks it, and sets off the device. D.O. dies instantly and is sucked out through the hole blown in the fuselage by the explosion. Gwen, just outside the door, is injured in the explosion and subsequent explosive decompression, but the pilots retain control of the airplane.
With all airports east of Chicago unusable due to bad weather, they return to Lincoln International for an emergency landing. Due to the bomb damage, Captain Demerest demands the airport's longest runway—Runway 29, which is still closed due to the stuck airliner. Eventually Mel orders the plane to be pushed off the runway by snowplows, despite the costly damage they would do to it. Patroni, who is ""taxi-qualified"" on Boeing 707s, has been trying to move the stuck aircraft in time for Vernon's damaged aircraft to land. By exceeding the Boeing 707's engine operating parameters, Patroni frees the stuck jet without damage, allowing Runway 29 to be reopened just in time for the crippled Golden Argosy to land.
In a brief epilogue, Ada is enjoying her reward of free first-class travel on TGA. But as she arrives at the gate, she laments that it was ""much more fun the other way.""","Chicago is paralyzed by a snowstorm affecting Lincoln International Airport. Airport manager Mel Bakersfeld is forced to work overtime, causing tension with his wife. TGA's flagship international service, named The Golden Argosy, is being operated with a Boeing 707. Demolition expert D.O. Guerrero, down on his luck and with a history of mental illness, buys a one-way TGA ticket and a large life insurance policy with the intent of committing suicide by blowing up the plane.","Action,Drama,Thriller",George Seaton,"Burt Lancaster,Dean Martin,George Kennedy,Van Heflin,Barry Nelson"
1970,Alex in Wonderland,"Young director Alex Morrison feels compelled to follow his recent box-office hit with another blockbuster. While mulling over this dilemma, the director's mind wanders to his past, his present, and probable future.[2]","Alex Morrison feels compelled to follow his recent box-office hit with another blockbuster. While mulling over this dilemma, the director's mind wanders to his past, his present, and probable future. The film is directed by Alex Morrison, who also stars as a young director.","Comedy,Drama",Paul Mazursky,"Donald Sutherland,Andre Philippe,Michael Lerner,Neil Burstyn,Leon Frederick"
1970,Angel Unchained,"Following a gang fight, biker Angel, calls it quits and leaves his gang, the Exiles MC, (Nomad Chapter), in pursuit of a new life. He meets hippie community leader Jonathan Tremaine, who is running from the anti-hippie townsfolk. Angel is quick to fall in love with another hippie, Merilee. When the situation becomes too tough to handle, Angel is forced to ask the Exiles MC to help out the hippies.","Following a gang fight, biker Angel, calls it quits and leaves his gang, the Exiles MC, (Nomad Chapter), in pursuit of a new life. He meets hippie community leader Jonathan Tremaine, who is running from anti-hippie townsfolk. Angel is quick to fall in love with another hippie, Merilee.","Action,Drama,Thriller",Lee Madden,"Don Stroud,Luke Askew,Larry Bishop,T. Max Graham,Bill McKinney,Jordan Rhodes,Peter Lawrence,Pedro Regas"
1970,The Aristocats,"In Paris 1910, mother cat Duchess and her three kittens, Berlioz, Marie and Toulouse live with retired opera diva Madame Adelaide Bonfamille, and her English butler, Edgar. One day while preparing her will with lawyer Georges Hautecourt, Madame declares her fortune to be left to her cats until their deaths, and thereafter to Edgar. Edgar hears this through a speaking tube, and plots to eliminate the cats. Therefore, he sedates the cats by putting sleeping pills in a milk mixture intended for them, and enters the countryside to abandon them. There, he is ambushed by two hounds named Napoleon and Lafayette, and the cats are stranded in the countryside, while Madame Adelaide, Roquefort the mouse and Frou-Frou the horse discover their absence.
In the morning, Duchess meets an alley cat named Thomas O'Malley, who offers to guide her and the kittens to Paris. The group briefly hitchhikes in a milk truck before being chased off by the driver. Later, while crossing a railroad trestle, the cats narrowly avoid an oncoming train, but Marie falls into a river and is saved by O'Malley, who in turn has to be rescued himself by two English geese, Amelia and Abigail Gabble, who accompany the cats to Paris. Edgar returns to the country to retrieve his possessions from Napoleon and Lafayette, as the only evidence that could incriminate him.
Travelling across the rooftops of the city, the cats meet O'Malley's friend Scat Cat and his musicians, who perform the song Ev'rybody Wants to Be a Cat. After the band has departed, O'Malley and Duchess converse on a nearby rooftop while the kittens listen at a windowsill. Here, Duchess' loyalty to Madame prompts her to decline O'Malley's proposal of marriage. Duchess and the kittens return to Madame's mansion, but Edgar places them in a sack and prepares to ship them to Timbuktu; whereupon they direct Roquefort to retrieve O'Malley. He does so, and O'Malley returns to the mansion, instructing Roquefort to locate Scat Cat and his gang. This done, the alley cats and Frou-Frou fight Edgar, while Roquefort frees Duchess and the kittens. At the end of the fight, Edgar is locked in his own packing-case and sent to Timbuktu himself. Madame Adelaide's will is rewritten to exclude Edgar, with Madame remaining ignorant of the reason for Edgar’s departure. After adopting O’Malley into the family, Madame establishes a charity foundation housing Paris' stray cats (represented by Scat Cat and his band, who reprise their song).","Mother cat Duchess and her three kittens, Berlioz, Marie and Toulouse live with retired opera diva Madame Adelaide Bonfamille, and her English butler, Edgar. Edgar sedates the cats by putting sleeping pills in a milk mixture intended for them, and enters the countryside to abandon them. He is ambushed by two hounds named Napoleon and Lafayette, and the cats are stranded in the countryside. In the morning, Duchess meets an alley cat named Thomas O'Malley, who offers to guide her and the kittens to Paris. Travelling across the rooftops of the city, the cats meet O'","Adventure,Animation,Comedy",Wolfgang Reitherman,"Phil Harris,Sterling Holloway,Scatman Crothers,Paul Winchell,Lord Tim Hudson,Vito Scotti,Thurl Ravenscroft,Dean Clark"
1970,The Baby Maker,"Tish Gray is a flower child who is hired to have the baby of a middle-class couple, Suzanne and Jay Wilcox. The film exposes the clash of values between Tish, her boyfriend Tad Jacks, and the couple. It also deals with the emotional turmoil all four characters go through.","Tish Gray is hired to have the baby of a middle-class couple, Suzanne and Jay Wilcox. The film exposes the clash of values between Tish, her boyfriend Tad Jacks, and the couple. It also deals with the emotional turmoil all four characters go through.",Drama,James Bridges,"Sam Groom,Scott Glenn,Jeff Siggins"
1970,The Ballad of Cable Hogue,"Cable Hogue is isolated in the desert, awaiting his partners, Taggart and Bowen, who are scouting for water. The two plot to seize what little water remains to save themselves. Cable, who hesitates to defend himself, is disarmed and abandoned to almost certain death.
Confronted with sandstorms and other desert elements, Cable bargains with God. Four days later, about to perish, he stumbles upon a muddy pit. He digs and discovers an abundant supply of water.
After discovering that his well is the only source of water between two towns on a stagecoach route, he decides to live there and build a business. Cable's first paying customer is the Rev. Joshua Duncan Sloane, a wandering minister of a church of his own revelation. Joshua doubts the legitimacy of Cable's claim to the spring, prompting Cable to race into town to file at the land office.
Cable faces the mockery of everyone he tells about his discovery. That does not deter him from buying 2 acres (0.8 ha) surrounding his spring. He immediately goes to the stage office to drum up business but is thrown out by the skeptical owner. He pitches his business plan to a bank president, who is dubious about the claim. Cable impresses the banker with his attitude and he is staked to $100.
Cable, who hasn’t bathed since his desert wanderings, decides to treat himself to a night with Hildy, a prostitute in the town saloon. They quickly develop a jovial understanding but before they can consummate the transaction, Cable remembers that he has still not set up his boundary markers and rushes out, much to Hildy's chagrin. She chases him out of the saloon in a sequence that wreaks havoc on the town.
Back at the spring, Cable and Joshua get to work, dubbing the claim Cable Springs. The two decide to go into town and are drunk by the time they arrive. Cable makes up with Hildy and spends the night with her, leaving Joshua to pursue his passion: the seduction of emotionally vulnerable women.
Cable and Joshua continue to run the robust business, delighting in shocking the often genteel travelers with the realities of frontier life. In moments of solitude, Cable and Joshua philosophize on the nature of love and the passing of their era. Joshua decides that he must return to town. Hildy arrives at Cable Springs having been ""asked"" to leave by the modernizing townfolk, who can no longer abide open prostitution in their midst. She tells Cable that she will leave for San Francisco in the morning but winds up staying with him for three weeks. This time elapses during a tender, romantic montage.
Then one day, Taggart and Bowen arrive on the stagecoach. Cable lets them believe that he bears them no ill will, and he alludes to a huge stash of cash that he has hoarded, knowing that the two men will return to steal it. When they do, Cable outwits them, by throwing rattlesnakes into the pit they have dug. When they surrender, he orders them to strip to their underwear to venture into the desert, just as he had been forced to do. Taggart, believing Cable will once again hesitate to defend himself, reaches for his gun but Hogue shoots him dead.
A motor car appears, driving right past Cable Springs with no need or interest in stopping for water. The drivers laugh at the archaic scene of western violence as they race past. ""Drove right by,"" says Cable in amazement. ""Well, that's gonna be the next fella's worry.""
Cable takes mercy on the grovelling Bowen. He even gives him Cable Springs, having decided to go to San Francisco to find Hildy. The stagecoach arrives and Cable gets ready to pack up when suddenly another motorcar [2] appears. This one does stop and Hildy emerges, opulently dressed. She has become prosperous and, now on her way to New Orleans, has come to see if Cable is ready to join her. He agrees but while he loads the motorcar he accidentally trips its brake. The car runs over him as he pushes Bowen out of the way.
Joshua, who arrives by a black motorcycle with a sidecar, gives a eulogy for Cable as he dies. This segues into a funeral with the cast standing mournfully over Cable's grave. They are grieving not only the death of the man but the era he represents. The stagecoach and motorcar drive off in opposite directions. A coyote wanders into the abandoned Cable Springs. But the coyote has a collar – possibly symbolising the taming of the wilderness.","Cable Hogue is isolated in the desert, awaiting his partners, Taggart and Bowen, who are scouting for water. The two plot to seize what little water remains to save themselves. Cable, who hesitates to defend himself, is disarmed and abandoned to almost certain death. Four days later, about to perish, he stumbles upon a muddy pit and discovers an abundant supply of water.","Comedy,Drama,Romance",Sam Peckinpah,"Jason Robards,David Warner,Strother Martin,Slim Pickens,L.Q. Jones,Peter Whitney,R.G. Armstrong,Gene Evans,William Mims"
1970,Barquero,"After stealing a shipment of silver and weapons, the brutal and unstable Remy and his band of mercenaries must cross the river in order to flee into Mexico. The boatman of a small settlement, Travis, refuses to transport the gang on his barge, knowing that to do so would be suicide. Travis and his woman Nola transport the settlement's inhabitants and a group of passing settlers to the river's far side. A tense standoff develops between the gang and the inhabitants and settlers who are on opposite sides of the river which explodes into a violent and bloody climax.","Remy and his band of mercenaries must cross the river in order to flee into Mexico. The boatman of a small settlement refuses to transport the gang on his barge, knowing that to do so would be suicide. A tense standoff develops between the gang and the inhabitants and settlers who are on opposite sides of the river explodes into a violent and bloody climax.","Drama,Western",Gordon Douglas,"Lee Van Cleef,Warren Oates,Forrest Tucker,Kerwin Mathews,Armando Silvestre,John Davis Chandler,Craig Littler,Ed Bakey"
1970,Beneath the Planet of the Apes,"Following the events of Planet of the Apes, time-displaced astronaut Taylor and the mute Nova, are riding on horseback through the desert of the Forbidden Zone. Without warning, fire shoots up from the ground and deep chasms open. Confused by the strange phenomenon, Taylor investigates a cliff wall and disappears before Nova's eyes.
Elsewhere in the Forbidden Zone, a second Earth spaceship has crash landed after being sent to search for Taylor and his crew. Its only survivor Brent, while noting he is in the year 3955, assumes he has traveled to another planet. He encounters Nova and notices she is wearing Taylor's dog tags. Hoping Taylor is still alive, he rides with her to Ape City, where he is shocked to discover the simian civilization. He observes the gorilla General Ursus leading a rally for the apes to conquer the Forbidden Zone and use it as a potential food source, against the objections of the orangutan Dr. Zaius. Brent is wounded by a gorilla soldier and taken by Nova to the home of the chimpanzees Cornelius and Zira, who treat his wound and tell him of their time with Taylor. The humans hide when Dr. Zaius arrives and announces that he will accompany Ursus on the invasion of the Forbidden Zone.
Attempting to flee the city, Brent and Nova are captured by gorillas. Ursus orders they be used for target practice, but Zira helps them escape. They hide in a cave which Brent soon discovers is the ruins of the Queensboro Plaza station of the New York City Subway, realizing he traveled through time to Earth's post-apocalyptic future. After following a humming sound deeper into the underground tunnels, Brent begins to hear voices telling him to kill Nova. Entering the remains of St. Patrick's Cathedral, he finds a population of telepathic humans who worship an ancient nuclear bomb.
Brent and Nova are captured and telepathically interrogated by the telepaths' leadership under Mendez explaining themselves to be the descendants of humans who survived nuclear holocaust and mutated over generations. While claiming to be a peaceful society despite using mind-control and illusion on their enemies, the mutants force Brent into revealing the apes' march on the Forbidden Zone, their attempts to repel the invaders with illusions of fire and other horrors ultimately failing when Zaius sees through it. With the apes closing in, the telepaths plan to detonate their ""Divine Bomb"" as a last resort, holding a pseudo-religious ritual during which they remove their human-skinned masks to reveal their malformed skinless appearance from generations of radiation exposure.
Brent is separated from Nova and taken to a cell where he finds Taylor. The mutant Ongaro, explaining that they cannot let them leave the city alive, uses his telepathic powers to force Brent and Taylor to kill each other. Nova escapes her guard and runs to the cell, screaming her first word: ""Taylor!"" This breaks Ongaro's concentration, freeing Brent and Taylor from his control long enough to overpower and kill the mutant. Brent describes the bomb the mutants worship to have Greek letters Alpha and Omega on its casing, Taylor recognizing it as a ""doomsday bomb"" capable of destroying the entire planet.
The apes invade the subterranean city, making their way to the cathedral with many of the mutants either captured, killed, or found to have committed suicide. After Nova is killed in the midst of the chaos, Taylor and Brent reach the cathedral as Méndez is shot dead after raising the bomb into activation position. The humans attempt to stop Ursus from accidentally setting off the weapon, but Taylor is shot as his pleas to Zaius fall on deaf ears. When Brent is gunned down after killing Ursus, the mortally wounded Taylor collapses while bringing his hand down on the activation switch and triggering the bomb. The scene whites out and voiceover narration states: ""In one of the countless billions of galaxies in the universe lies a medium-sized star, and one of its satellites, a green and insignificant planet, is now dead"".","Time-displaced astronaut Taylor and the mute Nova, are riding on horseback through the desert of the Forbidden Zone. Brent, while noting he is in the year 3955, assumes he has traveled to another planet. He is wounded by a gorilla soldier and taken by Nova to the home of the chimpanzees Cornelius and Zira, who treat his wound and tell him of their time with Taylor. They hide in a cave which Brent discovers is the ruins of the Queensboro Plaza station of the New York City Subway.","Action,Adventure,Sci-Fi",Ted Post,"James Franciscus,Maurice Evans,Charlton Heston,Paul Richards,Victor Buono,James Gregory,Jeff Corey"
